gene id	miRNA
22874	hsa-miR-374a-5p
23114	hsa-miR-27a-3p
23114	hsa-miR-137
25778	hsa-miR-27a-3p
10446	hsa-miR-374a-5p
9214	hsa-miR-374a-5p
9214	hsa-miR-27a-3p
83593	hsa-let-7d-5p
1378	hsa-miR-27a-3p
1378	hsa-miR-137
1378	hsa-miR-122-5p
1378	hsa-miR-497-5p
1379	hsa-miR-30e-3p
1379	hsa-miR-139-5p
1379	hsa-miR-23b-3p
3664	hsa-miR-374a-5p
3664	hsa-miR-27a-3p
255928	hsa-miR-30e-3p
255928	hsa-miR-199a-5p
255928	hsa-miR-27a-3p
255928	hsa-miR-139-5p
3756	hsa-miR-17-3p
9926	hsa-miR-302a-3p
9926	hsa-miR-520f-3p
25896	hsa-miR-139-5p
5525	hsa-miR-374a-5p
5629	hsa-miR-137
1063	hsa-miR-100-5p
1063	hsa-miR-302a-3p
1063	hsa-miR-520f-3p
1063	hsa-miR-21-5p
1063	hsa-miR-137
3776	hsa-miR-21-5p
3776	hsa-miR-374a-5p
3776	hsa-miR-27a-3p
3776	hsa-miR-23b-3p
51133	hsa-miR-374a-5p
55105	hsa-miR-374a-5p
55105	hsa-miR-27a-3p
128153	hsa-miR-374a-5p
128153	hsa-miR-23b-3p
51018	hsa-miR-10b-5p
51018	hsa-miR-374a-5p
25782	hsa-miR-17-3p
25782	hsa-miR-100-5p
25782	hsa-miR-302a-3p
25782	hsa-miR-376a-5p
4139	hsa-miR-137
64757	hsa-let-7d-5p
64757	hsa-miR-374a-5p
11221	hsa-miR-139-5p
375056	hsa-miR-27a-3p
55061	hsa-miR-30e-3p
55061	hsa-miR-376a-5p
55061	hsa-miR-374a-5p
55061	hsa-miR-139-5p
10754	hsa-miR-30b-5p
10754	hsa-miR-374a-5p
6726	hsa-miR-302a-3p
6726	hsa-miR-520f-3p
3707	hsa-miR-376a-5p
8476	hsa-let-7d-5p
375057	hsa-miR-27a-3p
375057	hsa-miR-32-5p
89780	hsa-miR-374a-5p
89780	hsa-miR-497-5p
84033	hsa-miR-374a-5p
84033	hsa-miR-27a-3p
84033	hsa-miR-497-5p
339500	hsa-miR-376a-5p
339500	hsa-miR-23b-3p
2590	hsa-let-7d-5p
79605	hsa-miR-30e-3p
79605	hsa-miR-139-5p
79573	hsa-miR-23b-3p
27185	hsa-miR-199a-5p
27185	hsa-let-7d-5p
27185	hsa-miR-30b-5p
27185	hsa-miR-137
27185	hsa-miR-23b-3p
23689	hsa-miR-27a-3p
148641	hsa-miR-27a-3p
148641	hsa-miR-137
9804	hsa-miR-199a-5p
2786	hsa-miR-155-5p
2786	hsa-miR-23b-3p
51742	hsa-miR-100-5p
6905	hsa-miR-10a-5p
6905	hsa-miR-10b-5p
6905	hsa-miR-199a-5p
4811	hsa-miR-30d-5p
6262	hsa-miR-17-3p
6262	hsa-miR-138-5p
6262	hsa-miR-27a-3p
1131	hsa-miR-30b-5p
1131	hsa-miR-137
56776	hsa-miR-27a-3p
8564	hsa-miR-372-3p
8564	hsa-miR-374a-5p
8564	hsa-miR-27a-3p
8564	hsa-miR-23b-3p
128025	hsa-miR-27a-3p
200150	hsa-miR-497-5p
10000	hsa-miR-27a-3p
10806	hsa-miR-520f-3p
257044	hsa-miR-27a-3p
84288	hsa-miR-199a-5p
84288	hsa-miR-23b-3p
51029	hsa-miR-372-3p
51029	hsa-miR-376a-5p
51029	hsa-miR-30b-5p
25909	hsa-miR-302a-3p
25909	hsa-miR-520f-3p
148823	hsa-miR-27a-3p
114548	hsa-miR-27a-3p
282757	hsa-miR-17-3p
282757	hsa-miR-27a-3p
282757	hsa-miR-497-5p
84069	hsa-miR-199a-5p
148398	hsa-miR-30e-3p
148398	hsa-miR-374a-5p
148398	hsa-miR-139-5p
9636	hsa-miR-30e-3p
9636	hsa-miR-302a-3p
9636	hsa-miR-374a-5p
9636	hsa-miR-139-5p
9636	hsa-miR-23b-3p
57801	hsa-miR-10a-5p
57801	hsa-miR-10b-5p
51150	hsa-miR-10b-5p
8784	hsa-miR-374a-5p
8784	hsa-miR-23b-3p
126792	hsa-miR-17-3p
54973	hsa-miR-27a-3p
83756	hsa-miR-27a-3p
83756	hsa-miR-497-5p
83756	hsa-miR-23b-3p
118424	hsa-miR-27a-3p
118424	hsa-miR-23b-3p
6339	hsa-miR-27a-3p
6339	hsa-miR-497-5p
116983	hsa-miR-30b-5p
64856	hsa-miR-374a-5p
55052	hsa-miR-376a-5p
83858	hsa-miR-30e-3p
83858	hsa-miR-139-5p
55210	hsa-miR-23b-3p
643988	hsa-miR-27a-3p
8510	hsa-miR-520f-3p
8510	hsa-miR-27a-3p
728661	hsa-miR-23b-3p
728642	hsa-miR-23b-3p
163688	hsa-miR-23b-3p
2563	hsa-miR-27a-3p
85452	hsa-miR-376a-5p
85452	hsa-miR-374a-5p
85452	hsa-miR-23b-3p
339456	hsa-miR-374a-5p
199990	hsa-miR-27a-3p
5192	hsa-miR-23b-3p
256482	hsa-miR-30e-3p
256482	hsa-miR-139-5p
256482	hsa-miR-23b-3p
50623	hsa-miR-374a-5p
50623	hsa-miR-497-5p
27237	hsa-miR-30e-3p
27237	hsa-miR-374a-5p
27237	hsa-miR-139-5p
7161	hsa-miR-34c-5p
7161	hsa-miR-137
7161	hsa-miR-23b-3p
127262	hsa-miR-100-5p
127262	hsa-miR-21-5p
57470	hsa-miR-10b-5p
9731	hsa-miR-17-3p
9731	hsa-miR-520f-3p
9731	hsa-miR-139-5p
6146	hsa-miR-30a-3p
388591	hsa-miR-199a-5p
388591	hsa-miR-139-5p
54626	hsa-miR-30b-5p
54626	hsa-miR-374a-5p
54626	hsa-miR-27a-3p
54626	hsa-miR-497-5p
8718	hsa-miR-27a-3p
83715	hsa-miR-30e-3p
83715	hsa-miR-374a-5p
83715	hsa-miR-137
83715	hsa-miR-139-5p
9903	hsa-miR-30e-3p
9903	hsa-miR-139-5p
80835	hsa-miR-137
90326	hsa-miR-23b-3p
9341	hsa-miR-155-5p
9341	hsa-miR-142-3p
9341	hsa-miR-302a-3p
9341	hsa-miR-372-3p
9341	hsa-miR-520f-3p
9341	hsa-miR-520c-3p
9341	hsa-miR-30b-5p
10911	hsa-miR-155-5p
